state,location,plz,lat,lon
Sachsen Anhalt,Dessau Roßlau,6844,51.883838,12.2370501
Sachsen Anhalt,Quedlinburg,6484,51.7855428,11.1519933
Baden Württemberg,Bietigheim Bissingen,74321,48.9596413,9.1259796
Nordrhein Westfalen,Ratingen,40878,51.2989053,6.853436
Nordrhein Westfalen,Herne,44625,51.5380394,7.219985
Rheinland Pfalz,Deidesheim,67146,49.4075922,8.1859168
Sachsen Anhalt,Lutherstadt Wittenberg,6886,51.8862056,12.659403139719288
Bayern,Fürth,90762,49.4772475,10.9893626
Baden Württemberg,Karlsruhe,76139,49.0284929,8.4359264
Bayern,Schernfeld,85132,48.9048267,11.1066469
Nordrhein Westfalen,Düsseldorf,40221,51.1872101,6.7626494
Sachsen Anhalt,Querfurt,6268,51.3785275,11.5974443
Bayern,München,81476,48.0984541,11.5030663
Nordrhein Westfalen,Bochum,44809,51.5066852,7.1925538
Bayern,Reichertshofen,85084,48.6530282,11.4948875
Nordrhein Westfalen,Altena,58762,51.2987211,7.675106
Berlin,Berlin,13127,52.6075452,13.4202705
Sachsen,Leipzig,4277,-34.6165597,-58.5110546
Nordrhein Westfalen,Selm,59379,51.6561091,7.5300784
Rheinland Pfalz,Trier,54290,49.7569213,6.6414267
Nordrhein Westfalen,Siegburg,53721,50.7943877,7.2034631
Niedersachsen,Hannover,30179,52.4206401,9.7659292
Hessen,Limburg an der Lahn,65549,50.3876305,8.0636197
Sachsen Anhalt,Kabelsketal,6184,51.41234085,12.163798272706028
Sachsen Anhalt,Magdeburg,39122,52.0961961,11.6507169
Nordrhein Westfalen,Mönchengladbach,41236,51.1946983,6.4353641
Nordrhein Westfalen,Mülheim an der Ruhr,45479,51.4272925,6.8829192
Berlin,Berlin,10589,52.5258217,13.3085043
Nordrhein Westfalen,Wuppertal,42287,51.2541222,7.235327
Hamburg,Hamburg,21077,53.4395796,9.988265
Nordrhein Westfalen,Düsseldorf,40229,51.2000868,6.821286
Nordrhein Westfalen,Bonn,53115,50.7318315,7.0817503
Sachsen,Zwickau,8056,49.5916993,6.1350757
Sachsen Anhalt,Barby Elbe,39249,51.9666473,11.8860511
Nordrhein Westfalen,Duisburg,47179,51.434999,6.759562
Sachsen Anhalt,Jeßnitz Anhalt,6800,51.6775571,12.31381589389893
Nordrhein Westfalen,Düsseldorf,40589,51.1745576,6.8356812
Hamburg,Hamburg,22605,53.5549964,9.8686504
Baden Württemberg,Mannheim,68161,49.4892913,8.4673098
Sachsen,Leipzig,4328,-34.6165597,-58.5110546
Sachsen,Leipzig,4315,-34.6165597,-58.5110546
Nordrhein Westfalen,Herford,32049,52.1158514,8.7003822
Nordrhein Westfalen,Neuss,41472,51.1393658,6.6785341
Sachsen,Plauen,8523,50.4950632,12.1346523
Nordrhein Westfalen,Lippstadt,59555,51.6881478,8.3170285
Bayern,München,81673,48.129401,11.6263663
Sachsen,Falkenau,9557,46.683307,11.2889189
Bayern,Erding,85435,48.3060244,11.9233195
Hessen,Bensheim,64625,49.6901153,8.6185243
Brandenburg,Bersteland,15910,51.94354855,13.784413983412716
Thüringen,Gera,7546,50.8772301,12.0796208
Nordrhein Westfalen,Essen,45133,51.4130327,7.0170462
Nordrhein Westfalen,Wuppertal,42115,51.2613071,7.117825
Nordrhein Westfalen,Köln,51069,50.9703339,7.0660008
Nordrhein Westfalen,Herne,44649,51.5397246,7.1566295
Nordrhein Westfalen,Dortmund,44287,51.4798917,7.5515906
Nordrhein Westfalen,Lünen,44536,51.6112281,7.5024793
Sachsen Anhalt,Bernburg Saale,6406,51.7930788,11.7391606
Sachsen Anhalt,Zeitz,6712,51.9712566,11.8083823
Sachsen Anhalt,Glindenberg,39326,52.23514475,11.685287149740038
Nordrhein Westfalen,Dortmund,44143,51.516018,7.5075191
Rheinland Pfalz,Mainz,55122,50.0005981,8.2570851
Nordrhein Westfalen,Kleve,47533,51.7804188,6.1360835
Sachsen,Dresden,1157,-33.0466998,-71.5754054
Hessen,Hofheim am Taunus,65719,50.0972792,8.4493685
Nordrhein Westfalen,Duisburg,47169,51.434999,6.759562
Baden Württemberg,Metzingen,72555,48.5397247,9.2831201
Nordrhein Westfalen,Köln,50939,50.938361,6.959974
Hessen,Hainburg,63512,50.0715908,8.9524104
Schleswig Holstein,Henstedt Ulzburg,24558,53.7867723,10.0062081
Niedersachsen,Sögel,49759,,
Sachsen,Kreischa,1731,50.9453729,13.7601024
Hessen,Wiesbaden,65205,50.0591806,8.3019224
Nordrhein Westfalen,Düsseldorf,40476,51.2452742,6.7870809
Sachsen Anhalt,Halle Saale,6110,51.5134896,11.955001603538504
Hessen,Bad Homburg vor der Höhe,61350,50.2267699,8.6169093
Baden Württemberg,Donaueschingen,78166,47.9534194,8.4959257
Nordrhein Westfalen,Gummersbach,51647,51.0277658,7.5630545
Bayern,Selb,95100,50.169121,12.1297769
Thüringen,Hildburghausen,98646,50.4266327,10.7300263
Mecklenburg Vorpommern,Wismar,23970,53.9297291,11.4860624
Baden Württemberg,Bad Rappenau,74906,49.2393031,9.101268
Niedersachsen,Barsinghausen,30890,52.3231685,9.436766
Sachsen Anhalt,Merseburg,6217,51.3564413,11.996148
Nordrhein Westfalen,Soest,59494,51.5525231,8.0519469
Nordrhein Westfalen,Bonn,53117,50.7500285,7.0975762
Rheinland Pfalz,Pirmasens,66953,49.1996961,7.6087847
Nordrhein Westfalen,Frechen,50226,50.9077739,6.8195192
Thüringen,Steinbach Hallenberg,98587,50.69884575,10.590509533612243
Baden Württemberg,Lorch,73547,48.7981983,9.6897956
Nordrhein Westfalen,Gladbeck,45968,51.5711477,7.0068338
Sachsen,Plauen,8527,50.4950632,12.1346523
Berlin,Berlin,10115,52.5287456,13.3974331
Nordrhein Westfalen,Mülheim an der Ruhr,45478,51.4272925,6.8829192
Niedersachsen,Oldenburg Oldenburg,26131,53.1389753,8.2146017
Rheinland Pfalz,Mayen,56727,50.3283544,7.2215134
Nordrhein Westfalen,Hattingen,45527,51.4119083,7.2118495
Sachsen Anhalt,Dessau Roßlau,6862,51.883838,12.2370501
Sachsen,Dresden,1169,-33.0466998,-71.5754054
Sachsen,Waldheim,4736,47.4727446,9.1586933
Nordrhein Westfalen,Heiligenhaus,42579,51.3254877,6.9674771
Hessen,Hanau,63456,50.0966763,8.9271678
Brandenburg,Prenzlau,17291,53.3194621,13.8707051
Nordrhein Westfalen,Unna,59427,51.5489918,7.8057662
Nordrhein Westfalen,Essen,45277,51.4582235,7.0158171
Nordrhein Westfalen,Düsseldorf,40227,51.2162035,6.7958489
Sachsen,Wurzen,4808,46.6541696,14.0305689
Sachsen Anhalt,Magdeburg,39108,52.1275097,11.6094996
Nordrhein Westfalen,Marl,45772,51.6877321,7.1226924
Rheinland Pfalz,Bingen am Rhein,55411,49.9667,7.9
